"","Abbreviation","State","Sex","Year","Age","ex"
"1","AL","Alabama","b",1959,"0",68.25
"2","AL","Alabama","b",1960,"0",67.91
"3","AL","Alabama","b",1961,"0",68.56
"4","AL","Alabama","b",1962,"0",68.31
"5","AL","Alabama","b",1963,"0",68
"6","AL","Alabama","b",1964,"0",68.33
"7","AL","Alabama","b",1965,"0",68.21
"8","AL","Alabama","b",1966,"0",68.26
"9","AL","Alabama","b",1967,"0",68.98
"10","AL","Alabama","b",1968,"0",68.61
"11","AL","Alabama","b",1969,"0",68.71
"12","AL","Alabama","b",1970,"0",69.15
"13","AL","Alabama","b",1971,"0",69.45
"14","AL","Alabama","b",1972,"0",69.56
"15","AL","Alabama","b",1973,"0",69.6
"16","AL","Alabama","b",1974,"0",70.18
"17","AL","Alabama","b",1975,"0",71.03
"18","AL","Alabama","b",1976,"0",71.21
"19","AL","Alabama","b",1977,"0",71.38
"20","AL","Alabama","b",1978,"0",71.91
"21","AL","Alabama","b",1979,"0",72.36
"22","AL","Alabama","b",1980,"0",72.32
"23","AL","Alabama","b",1981,"0",72.86
"24","AL","Alabama","b",1982,"0",73.31
"25","AL","Alabama","b",1983,"0",73.38
"26","AL","Alabama","b",1984,"0",73.29
"27","AL","Alabama","b",1985,"0",73.3
"28","AL","Alabama","b",1986,"0",73.28
"29","AL","Alabama","b",1987,"0",73.6
"30","AL","Alabama","b",1988,"0",73.35
"31","AL","Alabama","b",1989,"0",73.53
"32","AL","Alabama","b",1990,"0",73.66
"33","AL","Alabama","b",1991,"0",73.64
"34","AL","Alabama","b",1992,"0",74.2
"35","AL","Alabama","b",1993,"0",73.83
"36","AL","Alabama","b",1994,"0",73.94
"37","AL","Alabama","b",1995,"0",73.93
"38","AL","Alabama","b",1996,"0",74
"39","AL","Alabama","b",1997,"0",74.29
"40","AL","Alabama","b",1998,"0",74.29
"41","AL","Alabama","b",1999,"0",74.26
"42","AL","Alabama","b",2000,"0",74.42
"43","AL","Alabama","b",2001,"0",74.51
"44","AL","Alabama","b",2002,"0",74.5
"45","AL","Alabama","b",2003,"0",74.48
"46","AL","Alabama","b",2004,"0",74.63
"47","AL","Alabama","b",2005,"0",74.57
"48","AL","Alabama","b",2006,"0",74.6
"49","AL","Alabama","b",2007,"0",74.9
"50","AL","Alabama","b",2008,"0",74.97
"51","AL","Alabama","b",2009,"0",75.29
"52","AL","Alabama","b",2010,"0",75.34
"53","AL","Alabama","b",2011,"0",75.39
"54","AL","Alabama","b",2012,"0",75.42
"55","AL","Alabama","b",2013,"0",75.39
"56","AL","Alabama","b",2014,"0",75.54
"57","AL","Alabama","b",2015,"0",75.36
"58","AL","Alabama","b",2016,"0",75.19
"59","AL","Alabama","b",2017,"0",75.4
"60","AL","Alabama","b",2018,"0",75.4
"61","AK","Alaska","b",1959,"0",68.68
"62","AK","Alaska","b",1960,"0",67.23
"63","AK","Alaska","b",1961,"0",67.99
"64","AK","Alaska","b",1962,"0",67.86
"65","AK","Alaska","b",1963,"0",68.13
"66","AK","Alaska","b",1964,"0",67
"67","AK","Alaska","b",1965,"0",68.64
"68","AK","Alaska","b",1966,"0",69.21
"69","AK","Alaska","b",1967,"0",69.33
"70","AK","Alaska","b",1968,"0",69.24
"71","AK","Alaska","b",1969,"0",70.05
"72","AK","Alaska","b",1970,"0",69.22
"73","AK","Alaska","b",1971,"0",69.47
"74","AK","Alaska","b",1972,"0",70.19
"75","AK","Alaska","b",1973,"0",70.32
"76","AK","Alaska","b",1974,"0",70.83
"77","AK","Alaska","b",1975,"0",71.63
"78","AK","Alaska","b",1976,"0",71.71
"79","AK","Alaska","b",1977,"0",72.13
"80","AK","Alaska","b",1978,"0",72.12
"81","AK","Alaska","b",1979,"0",72.91
"82","AK","Alaska","b",1980,"0",72.38
"83","AK","Alaska","b",1981,"0",72.97
"84","AK","Alaska","b",1982,"0",73.48
"85","AK","Alaska","b",1983,"0",73.72
"86","AK","Alaska","b",1984,"0",74.16
"87","AK","Alaska","b",1985,"0",73.92
"88","AK","Alaska","b",1986,"0",73.88
"89","AK","Alaska","b",1987,"0",74.5
"90","AK","Alaska","b",1988,"0",74.79
"91","AK","Alaska","b",1989,"0",75.01
"92","AK","Alaska","b",1990,"0",74.96
"93","AK","Alaska","b",1991,"0",75.42
"94","AK","Alaska","b",1992,"0",75.39
"95","AK","Alaska","b",1993,"0",75.54
"96","AK","Alaska","b",1994,"0",75.68
"97","AK","Alaska","b",1995,"0",75.57
"98","AK","Alaska","b",1996,"0",75.83
"99","AK","Alaska","b",1997,"0",76.23
"100","AK","Alaska","b",1998,"0",76.8
"101","AK","Alaska","b",1999,"0",76.61
"102","AK","Alaska","b",2000,"0",76.15
"103","AK","Alaska","b",2001,"0",76.43
"104","AK","Alaska","b",2002,"0",76.89
"105","AK","Alaska","b",2003,"0",76.62
"106","AK","Alaska","b",2004,"0",77.5
"107","AK","Alaska","b",2005,"0",77.68
"108","AK","Alaska","b",2006,"0",77.34
"109","AK","Alaska","b",2007,"0",77.42
"110","AK","Alaska","b",2008,"0",77.78
"111","AK","Alaska","b",2009,"0",77.78
"112","AK","Alaska","b",2010,"0",77.92
"113","AK","Alaska","b",2011,"0",78.02
"114","AK","Alaska","b",2012,"0",78.25
"115","AK","Alaska","b",2013,"0",78.37
"116","AK","Alaska","b",2014,"0",78.33
"117","AK","Alaska","b",2015,"0",78.03
"118","AK","Alaska","b",2016,"0",77.84
"119","AK","Alaska","b",2017,"0",78.36
"120","AK","Alaska","b",2018,"0",78.78
"121","AZ","Arizona","b",1959,"0",69.43
"122","AZ","Arizona","b",1960,"0",69.25
"123","AZ","Arizona","b",1961,"0",69.44
"124","AZ","Arizona","b",1962,"0",69.38
"125","AZ","Arizona","b",1963,"0",69.21
"126","AZ","Arizona","b",1964,"0",69.67
"127","AZ","Arizona","b",1965,"0",70.45
"128","AZ","Arizona","b",1966,"0",70.13
"129","AZ","Arizona","b",1967,"0",70.72
"130","AZ","Arizona","b",1968,"0",70.45
"131","AZ","Arizona","b",1969,"0",70.8
"132","AZ","Arizona","b",1970,"0",70.9
"133","AZ","Arizona","b",1971,"0",71.05
"134","AZ","Arizona","b",1972,"0",71.87
"135","AZ","Arizona","b",1973,"0",71.97
"136","AZ","Arizona","b",1974,"0",72.52
"137","AZ","Arizona","b",1975,"0",73.28
"138","AZ","Arizona","b",1976,"0",73.68
"139","AZ","Arizona","b",1977,"0",73.89
"140","AZ","Arizona","b",1978,"0",73.89
"141","AZ","Arizona","b",1979,"0",74.31
"142","AZ","Arizona","b",1980,"0",74.17
"143","AZ","Arizona","b",1981,"0",74.79
"144","AZ","Arizona","b",1982,"0",75.25
"145","AZ","Arizona","b",1983,"0",75.49
"146","AZ","Arizona","b",1984,"0",75.29
"147","AZ","Arizona","b",1985,"0",75.53
"148","AZ","Arizona","b",1986,"0",75.54
"149","AZ","Arizona","b",1987,"0",75.46
"150","AZ","Arizona","b",1988,"0",75.66
"151","AZ","Arizona","b",1989,"0",75.93
"152","AZ","Arizona","b",1990,"0",76.23
"153","AZ","Arizona","b",1991,"0",76.37
"154","AZ","Arizona","b",1992,"0",76.32
"155","AZ","Arizona","b",1993,"0",76.07
"156","AZ","Arizona","b",1994,"0",76.21
"157","AZ","Arizona","b",1995,"0",76.41
"158","AZ","Arizona","b",1996,"0",76.61
"159","AZ","Arizona","b",1997,"0",77.02
"160","AZ","Arizona","b",1998,"0",77.05
"161","AZ","Arizona","b",1999,"0",77
"162","AZ","Arizona","b",2000,"0",77.14
