Name,Data
Alabama,47.97
Alaska,42.37
Arizona,46.81
Arkansas,47.65
California,48.91
Colorado,45.78
Connecticut,49.6
Delaware,45.46
District of Columbia,52.83
Florida,48.68
Georgia,48.21
Hawaii,44.12
Idaho,44.99
Illinois,48.16
Indiana,45.01
Iowa,44.21
Kansas,45.84
Kentucky,47.75
Louisiana,49.27
Maine,45.27
Maryland,45.2
Massachusetts,48.41
Michigan,46.64
Minnesota,45.15
Mississippi,47.84
Missouri,46.39
Montana,45.92
Nebraska,44.33
Nevada,45.68
New Hampshire,43.84
New Jersey,48.1
New Mexico,47.88
New York,51.37
North Carolina,47.69
North Dakota,45.79
Ohio,46.53
Oklahoma,46.72
Oregon,46.1
Pennsylvania,47.06
Rhode Island,47.48
South Carolina,47.27
South Dakota,44.57
Tennessee,48.02
Texas,48.06
Utah,42.64
Vermont,44.66
Virginia,46.82
Washington,45.68
West Virginia,46.43
Wisconsin,44.6
Wyoming,43.47
United States,48.22
