Location,PctChg2000to2010,,
United States,9.71,,
Alabama,7.48,,
Alaska,13.29,,
Arizona,24.59,,
Arkansas,9.08,,
California,9.99,,
Colorado,16.9,,
Connecticut,4.95,,
Delaware,14.6,,
District of Columbia,5.18,,
Florida,17.64,,
Georgia,18.33,,
Hawaii,12.28,,
Idaho,21.15,,
Illinois,3.31,,
Indiana,6.63,,
Iowa,4.09,,
Kansas,6.11,,
Kentucky,7.35,,
Louisiana,1.44,,
Maine,4.2,,
Maryland,9,,
Massachusetts,3.12,,
Michigan,-0.56,,
Minnesota,7.81,,
Mississippi,4.31,,
Missouri,7.01,,
Montana,9.67,,
Nebraska,6.73,,
Nevada,35.15,,
New Hampshire,6.53,,
New Jersey,4.48,,
New Mexico,13.2,,
New York,2.11,,
North Carolina,18.51,,
North Dakota,4.73,,
Ohio,1.61,,
Oklahoma,8.72,,
Oregon,11.97,,
Pennsylvania,3.43,,
Rhode Island,0.41,,
South Carolina,15.29,,
South Dakota,7.86,,
Tennessee,11.54,,
Texas,20.6,,
Utah,23.76,,
Vermont,2.81,,
Virginia,13.02,,
Washington,14.09,,
West Virginia,2.48,,
Wisconsin,6.03,,
Wyoming,14.14,,
Puerto Rico,-2.17,,
