Location,PctChg2010to2020
United States,7.4
Utah,18.4
Idaho,17.3
Texas,15.9
North Dakota,15.8
Nevada,15
Colorado,14.8
District of Columbia,14.6
Florida,14.6
Washington,14.6
Arizona,11.9
South Carolina,10.7
Georgia,10.6
Oregon,10.6
Delaware,10.2
Montana,9.6
North Carolina,9.5
South Dakota,8.9
Tennessee,8.9
Virginia,7.9
Minnesota,7.6
Massachusetts,7.4
Nebraska,7.4
Hawaii,7
Maryland,7
California,6.1
New Jersey,5.7
Oklahoma,5.5
Alabama,5.1
Indiana,4.7
Iowa,4.7
New Hampshire,4.6
Rhode Island,4.3
New York,4.2
Kentucky,3.8
Wisconsin,3.6
Alaska,3.3
Arkansas,3.3
Kansas,3
Missouri,2.8
New Mexico,2.8
Vermont,2.8
Louisiana,2.7
Maine,2.6
Pennsylvania,2.4
Ohio,2.3
Wyoming,2.3
Michigan,2
Connecticut,0.9
Illinois,-0.1
Mississippi,-0.2
West Virginia,-3.2
Puerto Rico,-11.8
