Abbreviation,State,Sex,Year,Age,ex
AK,Alaska,b,1960,0,67.23
AK,Alaska,b,1961,0,67.99
AK,Alaska,b,1964,0,67
AK,Alaska,b,1965,0,68.64
AK,Alaska,b,1962,0,67.86
AK,Alaska,b,1963,0,68.13
AK,Alaska,b,1959,0,68.68
AK,Alaska,b,1973,0,70.32
AK,Alaska,b,1974,0,70.83
AK,Alaska,b,1975,0,71.63
AK,Alaska,b,1976,0,71.71
AK,Alaska,b,1977,0,72.13
AK,Alaska,b,1978,0,72.12
AK,Alaska,b,1966,0,69.21
AK,Alaska,b,1967,0,69.33
AK,Alaska,b,1968,0,69.24
AK,Alaska,b,1969,0,70.05
AK,Alaska,b,1970,0,69.22
AK,Alaska,b,1971,0,69.47
AK,Alaska,b,1972,0,70.19
AK,Alaska,b,1999,0,76.61
AK,Alaska,b,2000,0,76.15
AK,Alaska,b,2001,0,76.43
AK,Alaska,b,2002,0,76.89
AK,Alaska,b,2003,0,76.62
AK,Alaska,b,2004,0,77.5
AK,Alaska,b,2005,0,77.68
AK,Alaska,b,2006,0,77.34
AK,Alaska,b,2007,0,77.42
AK,Alaska,b,2008,0,77.78
AK,Alaska,b,2009,0,77.78
AK,Alaska,b,2010,0,77.92
AK,Alaska,b,2011,0,78.02
AK,Alaska,b,2012,0,78.25
AK,Alaska,b,2013,0,78.37
AK,Alaska,b,2014,0,78.33
AK,Alaska,b,2015,0,78.03
AK,Alaska,b,2016,0,77.84
AK,Alaska,b,2017,0,78.36
AK,Alaska,b,2018,0,78.78
AK,Alaska,b,1979,0,72.91
AK,Alaska,b,1980,0,72.38
AK,Alaska,b,1981,0,72.97
AK,Alaska,b,1982,0,73.48
AK,Alaska,b,1983,0,73.72
AK,Alaska,b,1984,0,74.16
AK,Alaska,b,1985,0,73.92
AK,Alaska,b,1986,0,73.88
AK,Alaska,b,1987,0,74.5
AK,Alaska,b,1988,0,74.79
AK,Alaska,b,1989,0,75.01
AK,Alaska,b,1990,0,74.96
AK,Alaska,b,1991,0,75.42
AK,Alaska,b,1992,0,75.39
AK,Alaska,b,1993,0,75.54
AK,Alaska,b,1994,0,75.68
AK,Alaska,b,1995,0,75.57
AK,Alaska,b,1996,0,75.83
AK,Alaska,b,1997,0,76.23
