State,rentBurdenPerc
United States,49
Florida,55.87
Vermont,54.46
Hawaii,53.44
California,53.21
Louisiana,52.1
Nevada,51.06
New York,50.11
Colorado,49.88
Maryland,49.86
Delaware,49.38
Connecticut,49.11
New Jersey,48.95
Rhode Island,48.86
Massachusetts,48.84
Oregon,48.52
Georgia,48.38
Mississippi,48.21
Texas,48.02
Michigan,47.86
Washington,47.63
South Carolina,47.51
Alabama,47.09
Pennsylvania,46.9
New Hampshire,46.89
New Mexico,46.81
Arizona,46.5
North Carolina,46.42
Tennessee,46.4
Virginia,46.02
Idaho,45.69
Illinois,45.68
West Virginia,45.56
Indiana,45.34
Alaska,44.85
Montana,44.76
Wyoming,44.37
Missouri,44.32
Oklahoma,44.07
Minnesota,44.04
Utah,44.03
Maine,43.86
Arkansas,43.66
Ohio,43.44
Kentucky,43.29
District of Columbia,42.73
Wisconsin,42.36
Kansas,42.33
Iowa,41.79
Nebraska,41.19
South Dakota,39.65
North Dakota,38.08
