Name,Data
District of Columbia,57.6
Massachusetts,42.9
Colorado,40.1
Maryland,39.6
Connecticut,38.9
New Jersey,38.9
Virginia,38.2
Vermont,37.3
New Hampshire,36.5
New York,35.9
Minnesota,35.4
Washington,35.3
Illinois,34.1
California,33.3
Rhode Island,33.3
Utah,33.3
Kansas,32.9
Oregon,32.9
Hawaii,32.5
United States,31.5
Delaware,31.4
Nebraska,31.3
Montana,31.2
Maine,30.9
Pennsylvania,30.8
Georgia,30.7
North Carolina,30.5
North Dakota,29.5
Wisconsin,29.5
Texas,29.3
Alaska,29.2
Florida,29.2
Arizona,28.9
Michigan,28.6
Missouri,28.6
South Dakota,28.5
Iowa,28.2
Ohio,27.8
South Carolina,27.4
New Mexico,27.1
Idaho,26.9
Wyoming,26.9
Tennessee,26.6
Indiana,25.9
Oklahoma,25.2
Alabama,24.9
Nevada,24.2
Louisiana,23.7
Kentucky,23.6
Arkansas,22.6
Mississippi,21.8
West Virginia,20.3
