Name,Data
District of Columbia,52.83
New York,51.37
Connecticut,49.6
Louisiana,49.27
California,48.91
Florida,48.68
Massachusetts,48.41
United States,48.22
Georgia,48.21
Illinois,48.16
New Jersey,48.1
Texas,48.06
Tennessee,48.02
Alabama,47.97
New Mexico,47.88
Mississippi,47.84
Kentucky,47.75
North Carolina,47.69
Arkansas,47.65
Rhode Island,47.48
South Carolina,47.27
Pennsylvania,47.06
Virginia,46.82
Arizona,46.81
Oklahoma,46.72
Michigan,46.64
Ohio,46.53
West Virginia,46.43
Missouri,46.39
Oregon,46.1
Montana,45.92
Kansas,45.84
North Dakota,45.79
Colorado,45.78
Nevada,45.68
Washington,45.68
Delaware,45.46
Maine,45.27
Maryland,45.2
Minnesota,45.15
Indiana,45.01
Idaho,44.99
Vermont,44.66
Wisconsin,44.6
South Dakota,44.57
Nebraska,44.33
Iowa,44.21
Hawaii,44.12
New Hampshire,43.84
Wyoming,43.47
Utah,42.64
Alaska,42.37
