Name,Data
Mississippi,20.8
New Mexico,20
Louisiana,19.4
Kentucky,17.9
West Virginia,17.8
Arkansas,17.6
Alabama,17.5
District of Columbia,16.8
Arizona,16.1
Tennessee,16.1
Georgia,16
Oklahoma,16
South Carolina,16
Texas,15.5
North Carolina,15.4
Michigan,15
Florida,14.8
New York,14.6
Ohio,14.5
California,14.3
Missouri,14.2
Indiana,14.1
Oregon,14.1
United States,14.1
Idaho,13.8
Montana,13.7
Nevada,13.7
South Dakota,13.6
Illinois,13.1
Rhode Island,13.1
Pennsylvania,12.8
Maine,12.5
Kansas,12.4
Delaware,11.9
Wisconsin,11.9
Iowa,11.7
Nebraska,11.6
Washington,11.5
Vermont,11.2
Wyoming,11.1
Colorado,10.9
North Dakota,10.9
Virginia,10.9
Alaska,10.8
Massachusetts,10.8
New Jersey,10.4
Utah,10.3
Minnesota,10.1
Connecticut,10
Hawaii,9.9
Maryland,9.4
New Hampshire,7.9
