GEOID,estimate
01001,58786
01003,55962
01005,34186
01007,45340
01009,48695
01011,32152
01013,39109
01015,45197
01017,39872
01019,41014
01021,45182
01023,34884
01025,36127
01027,41225
01029,40188
01031,53155
01033,47558
01035,33177
01037,38301
01039,40601
01041,39812
01043,42558
01045,45960
01047,31602
01049,39233
01051,59347
01053,35000
01055,44023
01057,37458
01059,40459
01061,38142
01063,21804
01065,30571
01067,48610
01069,45496
01071,39816
01073,51979
01075,36756
01077,46265
01079,44515
01081,48056
01083,56460
01085,30833
01087,32074
01089,63417
01091,32809
01093,35392
01095,42490
01097,46166
01099,30141
01101,47990
01103,49751
01105,23561
01107,37458
01109,34678
01111,41449
01113,40978
01115,54887
01117,75761
01119,23132
01121,41012
01123,43361
01125,52221
01127,41748
01129,40794
01131,27237
01133,38504
02013,69706
02016,85517
02020,83280
02050,54212
02060,84688
02068,84196
02070,58750
02090,77095
02100,64342
02105,63603
02110,88213
02122,66684
02130,70356
02150,78281
02158,35539
02164,46406
02170,75905
02180,58987
02185,75431
02188,62949
02195,66907
02198,54191
02220,71534
02230,72237
02240,71541
02261,82306
02275,57583
02282,65833
02290,40000
04001,32963
04003,48649
04005,57616
04007,42092
04009,51352
04011,60962
04012,33333
04013,61606
04015,43266
04017,40054
04019,51037
04021,55550
04023,40467
04025,50180
04027,44058
05001,39466
05003,39635
05005,41481
05007,64141
05009,43262
05011,39510
05013,44022
05015,43505
05017,33051
05019,39752
05021,33935
05023,43391
05025,42460
05027,36148
05029,41196
05031,45868
05033,46619
05035,39002
05037,43838
05039,36628
05041,30234
05043,43014
05045,51930
05047,39463
05049,36184
05051,43146
05053,51920
05055,47497
05057,41355
05059,41262
05061,35900
05063,43523
05065,40218
05067,33174
05069,38289
05071,37170
05073,32412
05075,38528
05077,28367
05079,45166
05081,45388
05083,39748
05085,57509
05087,43891
05089,35518
05091,41903
05093,37237
05095,35190
05097,37855
05099,37635
05101,39896
05103,34887
05105,46071
05107,29263
05109,37406
05111,39277
05113,37035
05115,41914
05117,41846
05119,50093
05121,36870
05123,35356
05125,62152
05127,35509
05129,36390
05131,43240
05133,46667
05135,33708
05137,36162
05139,44000
05141,36897
05143,49629
05145,43822
05147,31023
05149,42361
06001,92574
06003,64688
06005,61198
06007,48443
06009,58151
06011,56704
06013,93712
06015,45258
06017,80582
06019,51261
06021,47395
06023,45528
06025,45834
06027,52874
06029,52479
06031,53865
06033,42475
06035,56362
06037,64251
06039,52884
06041,110217
06043,51199
06045,49233
06047,50129
06049,45149
06051,63018
06053,66676
06055,84753
06057,63240
06059,85398
06061,84357
06063,53270
06065,63948
06067,63902
06069,81977
06071,60164
06073,74855
06075,104552
06077,61145
06079,70699
06081,113776
06083,71657
06085,116178
06087,78041
06089,50905
06091,48125
06093,44200
06095,77609
06097,76753
06099,57387
06101,56955
06103,42899
06105,38497
06107,47518
06109,56493
06111,84017
06113,65923
06115,52624
08001,67575
08003,39191
08005,73925
08007,50753
08009,37500
08011,34392
08013,78642
08014,89624
08015,54580
08017,55227
08019,69936
08021,34746
08023,30593
08025,37586
08027,44644
08029,44512
08031,63793
08033,41714
08035,115314
08037,84685
08039,96658
08041,65334
08043,46296
08045,72898
08047,75120
08049,70469
08051,54979
08053,52188
08055,36705
08057,48828
08059,78943
08061,39784
08063,51046
08065,46918
08067,64372
08069,67664
08071,41945
08073,49423
08075,48922
08077,53683
08079,61058
08081,52807
08083,46797
08085,48739
08087,51626
08089,34136
08091,62230
08093,66861
08095,50724
08097,71244
08099,40097
08101,44634
08103,55543
08105,38639
08107,74273
08109,34410
08111,46563
08113,64478
08115,45188
08117,77589
08119,65382
08121,49375
08123,70908
08125,48394
09001,92969
09003,72321
09005,78314
09007,84761
09009,67128
09011,71368
09013,84916
09015,64774
10001,58775
10003,70996
10005,60853
11001,82604
12001,49078
12003,61769
12005,51829
12007,46197
12009,54359
12011,57333
12013,38609
12015,49225
12017,41424
12019,62653
12021,65675
12023,44491
12027,35057
12029,38237
12031,53473
12033,49286
12035,53872
12037,42855
12039,40922
12041,42357
12043,39879
12045,44291
12047,34583
12049,37594
12051,40728
12053,46030
12055,37314
12057,56137
12059,38608
12061,52336
12063,39002
12065,48173
12067,39543
12069,51884
12071,54691
12073,51201
12075,37634
12077,37363
12079,35509
12081,56036
12083,43361
12085,57959
12086,48982
12087,67023
12089,66297
12091,62048
12093,40367
12095,54335
12097,50063
12099,59943
12101,50417
12103,51454
12105,48500
12107,35649
12109,77323
12111,49373
12113,66242
12115,58644
12117,63760
12119,55228
12121,42686
12123,36934
12125,41770
12127,46760
12129,62778
12131,53785
12133,37188
13001,39561
13003,34877
13005,36964
13007,37188
13009,39426
13011,45373
13013,57348
13015,55452
13017,32705
13019,37163
13021,39931
13023,45029
13025,37031
13027,34322
13029,71322
13031,41789
13033,42773
13035,41845
13037,31725
13039,56397
13043,32937
13045,49608
13047,55125
13049,40283
13051,54911
13053,46453
13055,36107
13057,79670
13059,36889
13061,25000
13063,45778
13065,25236
13067,75153
13069,38266
13071,35472
13073,76938
13075,38408
13077,70717
13079,43257
13081,35096
13083,44471
13085,65805
13087,39148
13089,59280
13091,35757
13093,35629
13095,37633
13097,62147
13099,31567
13101,34447
13103,65153
13105,37943
13107,34946
13109,39701
13111,45647
13113,87272
13115,46367
13117,101743
13119,40198
13121,64787
13123,49389
13125,41686
13127,50672
13129,44313
13131,42348
13133,49755
13135,67769
13137,49140
13139,59898
13141,31984
13143,46353
13145,74261
13147,41358
13149,48094
13151,68609
13153,58770
13155,32339
13157,62495
13159,43284
13161,36531
13163,34300
13165,27311
13167,39813
13169,53155
13171,41464
13173,39104
13175,37369
13177,65420
13179,45959
13181,41014
13183,55439
13185,41390
13187,47488
13189,39199
13191,47114
13193,31999
13195,51701
13197,44309
13199,36351
13201,42927
13205,37027
13207,54050
13209,40728
13211,62530
13213,45238
13215,45389
13217,53309
13219,88308
13221,44927
13223,66467
13225,42802
13227,64512
13229,44167
13231,58765
13233,43491
13235,38770
13237,51245
13239,30000
13241,40902
13243,30914
13245,40644
13247,57049
13249,41276
13251,37588
13253,34338
13255,42671
13257,43416
13259,25385
13261,36205
13263,36213
13265,31797
13267,38034
13269,33442
13271,30288
13273,38015
13275,40112
13277,42790
13279,36575
13281,43927
13283,37606
13285,43850
13287,38341
13289,33037
13291,44978
13293,36529
13295,43650
13297,58370
13299,39887
13301,34730
13303,38092
13305,44869
13307,35755
13309,27626
13311,46288
13313,46970
13315,36077
13317,35106
13319,37583
13321,46076
15001,59297
15003,82906
15005,61875
15007,78482
15009,77117
16001,63137
16003,45319
16005,49739
16007,54265
16009,46507
16011,51288
16013,51968
16015,53942
16017,48710
16019,56609
16021,43507
16023,42250
16025,38393
16027,49143
16029,59611
16031,50918
16033,35341
16035,42348
16037,39957
16039,46715
16041,56613
16043,53311
16045,43001
16047,48638
16049,39113
16051,60162
16053,49306
16055,54457
16057,45466
16059,37921
16061,41326
16063,48222
16065,36031
16067,50663
16069,54174
16071,51058
16073,40430
16075,50289
16077,49985
16079,39091
16081,68818
16083,50778
16085,55299
16087,37206
17001,51398
17003,34709
17005,58097
17007,66898
17009,58762
17011,55940
17013,54392
17015,51228
17017,51997
17019,51692
17021,52415
17023,54158
17025,48691
17027,65010
17029,44071
17031,62088
17033,49233
17035,53376
17037,61086
17039,55591
17041,54218
17043,88711
17045,51109
17047,49766
17049,56293
17051,44432
17053,51120
17055,41414
17057,50180
17059,42500
17061,46052
17063,74140
17065,56862
17067,51549
17069,43081
17071,52712
17073,57250
17075,51825
17077,37802
17079,54951
17081,47617
17083,56747
17085,57083
17087,50923
17089,76912
17091,57981
17093,91764
17095,43709
17097,86244
17099,56243
17101,45654
17103,57901
17105,56200
17107,57899
17109,43724
17111,84803
17113,65813
17115,50444
17117,53778
17119,57890
17121,46102
17123,55901
17125,45596
17127,42604
17129,69102
17131,58011
17133,81268
17135,50304
17137,48508
17139,59623
17141,59707
17143,54770
17145,48298
17147,69271
17149,42664
17151,40671
17153,33799
17155,65034
17157,52107
17159,48724
17161,52630
17163,53681
17165,41167
17167,60466
17169,46151
17171,53973
17173,51157
17175,52260
17177,48016
17179,62342
17181,49182
17183,45384
17185,51432
17187,49607
17189,59469
17191,49764
17193,47773
17195,53828
17197,83504
17199,49053
17201,52743
17203,71867
18001,51713
18003,53402
18005,59045
18007,46188
18009,42217
18011,80567
18013,61455
18015,56429
18017,47545
18019,54240
18021,53021
18023,52488
18025,43875
18027,51032
18029,65096
18031,54622
18033,53808
18035,42705
18037,58994
18039,55399
18041,43317
18043,61754
18045,49887
18047,58382
18049,49333
18051,52620
18053,42593
18055,49177
18057,94644
18059,73142
18061,57132
18063,78355
18065,48235
18067,50869
18069,52208
18071,49506
18073,59574
18075,44772
18077,51119
18079,49801
18081,68712
18083,46457
18085,58402
18087,60675
18089,54249
18091,51101
18093,52092
18095,47436
18097,46692
18099,54229
18101,51224
18103,47460
18105,47075
18107,53610
18109,62462
18111,53146
18113,55033
18115,61148
18117,45341
18119,48667
18121,48788
18123,51064
18125,52527
18127,68044
18129,62583
18131,48370
18133,56169
18135,45601
18137,56295
18139,50535
18141,50938
18143,47123
18145,59214
18147,56998
18149,48895
18151,56101
18153,46517
18155,47929
18157,51844
18159,55479
18161,48227
18163,46943
18165,48377
18167,43859
18169,50637
18171,61148
18173,70648
18175,47078
18177,44228
18179,56265
18181,55086
18183,61153
19001,51859
19003,49229
19005,51057
19007,41111
19009,50397
19011,65475
19013,52688
19015,61111
19017,68023
19019,61409
19021,54556
19023,55999
19025,50800
19027,57674
19029,48178
19031,65791
19033,52902
19035,54658
19037,55385
19039,51571
19041,47874
19043,52828
19045,50156
19047,53609
19049,84790
19051,58464
19053,42614
19055,61179
19057,49977
19059,58099
19061,61321
19063,48542
19065,50015
19067,48110
19069,53742
19071,54281
19073,54050
19075,66965
19077,57075
19079,56273
19081,61167
19083,53872
19085,60063
19087,52428
19089,52742
19091,52219
19093,55969
19095,58570
19097,54070
19099,55727
19101,43378
19103,61640
19105,56012
19107,51043
19109,54146
19111,48571
19113,64862
19115,53943
19117,50206
19119,64352
19121,64512
19123,52950
19125,58492
19127,54027
19129,69177
19131,55553
19133,45252
19135,49549
19137,47648
19139,57348
19141,53045
19143,58125
19145,49974
19147,52462
19149,64296
19151,49877
19153,66044
19155,57467
19157,53520
19159,52005
19161,54958
19163,58803
19165,55489
19167,67178
19169,54554
19171,55898
19173,48717
19175,47518
19177,47083
19179,45233
19181,74383
19183,61769
19185,45017
19187,44261
19189,51002
19191,62820
19193,55483
19195,54329
19197,50198
20001,42679
20003,46274
20005,48667
20007,50613
20009,50198
20011,40733
20013,48547
20015,63272
20017,46295
20019,38690
20021,41103
20023,46833
20025,50368
20027,56186
20029,44143
20031,58636
20033,56912
20035,48087
20037,40174
20039,44104
20041,48167
20043,49338
20045,55832
20047,49293
20049,38494
20051,52700
20053,48188
