"","State","State.Code","Region","Division","GEOID","medIncomeE","medIncomeM","giniE","giniM","rentE","rentM","rentPercE","rentPercM","ownPercE","ownPercM","mortPercE","mortPercM","noMortPercE","noMortPercM","Year"
"1","Alabama","AL","South","East South Central","01",42849,641,0.4752,0.0039,694,7,30,0.5,16.9,0.2,20.7,0.3,10.6,0.3,2013
"2","Alabama","AL","South","East South Central","01",40474,472,0.472,0.004,667,9,32.2,0.6,19,0.2,23,0.3,12.3,0.3,2010
"3","Alabama","AL","South","East South Central","01",41415,550,0.4735,0.0044,687,7,32.1,0.6,18.7,0.2,22.5,0.3,12.2,0.3,2011
"4","Alabama","AL","South","East South Central","01",42830,598,0.4758,0.0042,717,9,31,0.7,17.1,0.2,21,0.3,10.9,0.3,2014
"5","Alabama","AL","South","East South Central","01",48123,768,0.4768,0.0053,750,11,28.9,0.4,15.4,0.2,19.1,0.3,10,NA,2017
"6","Alabama","AL","South","East South Central","01",51734,600,0.4741,0.0052,807,9,28.7,0.7,14.8,0.2,18.9,0.3,9,NA,2019
"7","Alabama","AL","South","East South Central","01",46257,677,0.4847,0.0053,743,8,29.6,0.5,15.8,0.2,19.4,0.2,10,NA,2016
"8","Alabama","AL","South","East South Central","01",38783,512,0.472,0.005,573,6,29.1,0.6,18.2,0.2,21.7,0.3,11.7,0.3,2006
"9","Alabama","AL","South","East South Central","01",40554,428,0.471,0.005,601,7,29.2,0.6,18.1,0.2,21.9,0.3,11.3,0.3,2007
"10","Alabama","AL","South","East South Central","01",44765,744,0.4811,0.0045,729,9,29.9,0.6,16.3,0.2,19.8,0.3,10.6,0.2,2015
"11","Alabama","AL","South","East South Central","01",40489,528,0.471,0.005,657,8,30.9,0.8,18.5,0.2,22.2,0.3,11.7,0.3,2009
"12","Alabama","AL","South","East South Central","01",42666,682,0.467,0.006,631,9,29.2,0.6,18.1,0.2,21.7,0.2,11.3,0.3,2008
"13","Alabama","AL","South","East South Central","01",41574,477,0.4726,0.0037,689,8,29.9,0.7,17.4,0.3,21.3,0.3,11.1,0.3,2012
"14","Alabama","AL","South","East South Central","01",49861,783,0.4859,0.0048,788,9,29.1,0.5,15.3,0.2,19.1,0.3,9,NA,2018
"15","Alaska","AK","West","Pacific","02",72237,1892,0.4083,0.0103,1117,25,27.5,1,18.3,0.5,22.1,0.7,10.3,0.7,2013
"16","Alaska","AK","West","Pacific","02",71583,1784,0.4175,0.0107,1183,29,30.6,1.2,18.4,0.4,21.9,0.6,10.2,0.7,2014
"17","Alaska","AK","West","Pacific","02",66953,2331,0.402,0.014,1007,39,26.2,1.2,20.4,0.8,24.1,0.7,10.9,0.8,2009
"18","Alaska","AK","West","Pacific","02",76440,2230,0.4081,0.0106,1208,34,26.7,1.1,18,0.5,21.9,0.6,10,NA,2016
